Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
C489563,90085,CRYSTAL STILETTO PHONE CHARM,81,2009-12-01 13:09:00,0.85,13526,United Kingdom
C489713,21094,SET/6 RED SPOTTY PAPER PLATES,150,2009-12-02 10:55:00,0.64,12755,Japan
C490133,72045D,ROSES ON BLUE TEACUP CANDLE ,504,2009-12-03 18:36:00,1.69,17949,United Kingdom
C490133,20971,PINK BLUE FELT CRAFT TRINKET BOX,600,2009-12-03 18:36:00,1.06,17949,United Kingdom
C490133,21314,SMALL GLASS HEART TRINKET POT,504,2009-12-03 18:36:00,1.85,17949,United Kingdom
C490807,51014L,"FEATHER PEN,LIGHT PINK",60,2009-12-08 12:25:00,0.85,13091,United Kingdom
C490807,85175,CACTI T-LIGHT CANDLES,96,2009-12-08 12:25:00,0.42,13091,United Kingdom
C490807,51014A,"FEATHER PEN,HOT PINK",60,2009-12-08 12:25:00,0.85,13091,United Kingdom
C490807,16033,MINI HIGHLIGHTER PENS,120,2009-12-08 12:25:00,0.12,13091,United Kingdom
C490807,10138,ASSORTED COLOUR JUMBO PEN,96,2009-12-08 12:25:00,0.42,13091,United Kingdom
C490807,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,96,2009-12-08 12:25:00,0.21,13091,United Kingdom
C490807,51014C,"FEATHER PEN,COAL BLACK",60,2009-12-08 12:25:00,0.85,13091,United Kingdom
C490942,84270,ASSTD DESIGN BUBBLE GUM RING,60,2009-12-08 14:04:00,0.21,14337,United Kingdom
C490946,51014L,"FEATHER PEN,LIGHT PINK",60,2009-12-08 14:28:00,0.85,13091,United Kingdom
C490946,85175,CACTI T-LIGHT CANDLES,96,2009-12-08 14:28:00,0.42,13091,United Kingdom
C490946,51014A,"FEATHER PEN,HOT PINK",60,2009-12-08 14:28:00,0.85,13091,United Kingdom
C490946,16033,MINI HIGHLIGHTER PENS,120,2009-12-08 14:28:00,0.12,13091,United Kingdom
C490946,10138,ASSORTED COLOUR JUMBO PEN,96,2009-12-08 14:28:00,0.42,13091,United Kingdom
C490946,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,96,2009-12-08 14:28:00,0.21,13091,United Kingdom
C490946,51014C,"FEATHER PEN,COAL BLACK",60,2009-12-08 14:28:00,0.85,13091,United Kingdom
