Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489438,20711,JUMBO BAG TOYS ,60,2009-12-01 09:24:00,1.3,18102,United Kingdom
489438,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE ,56,2009-12-01 09:24:00,3.0,18102,United Kingdom
489438,84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE ,56,2009-12-01 09:24:00,3.0,18102,United Kingdom
489438,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,60,2009-12-01 09:24:00,1.9,18102,United Kingdom
489438,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,56,2009-12-01 09:24:00,1.9,18102,United Kingdom
489438,84519A,TOMATO CHARLIE+LOLA COASTER SET,56,2009-12-01 09:24:00,2.15,18102,United Kingdom
489438,84519B,CARROT CHARLIE+LOLA COASTER SET,60,2009-12-01 09:24:00,2.4,18102,United Kingdom
489438,85132A,CHARLIE + LOLA BISCUITS TINS,60,2009-12-01 09:24:00,6.38,18102,United Kingdom
489438,85132C,CHARLIE AND LOLA FIGURES TINS,60,2009-12-01 09:24:00,6.4,18102,United Kingdom
489438,85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,60,2009-12-01 09:24:00,2.4,18102,United Kingdom
489438,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,60,2009-12-01 09:24:00,2.4,18102,United Kingdom
489460,84598,BOYS ALPHABET IRON ON PATCHES,576,2009-12-01 10:46:00,0.21,16167,United Kingdom
489460,84568,GIRLS ALPHABET IRON ON PATCHES ,288,2009-12-01 10:46:00,0.21,16167,United Kingdom
489465,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,2009-12-01 10:52:00,2.55,13767,United Kingdom
489465,84879,ASSORTED COLOUR BIRD ORNAMENT,160,2009-12-01 10:52:00,1.45,13767,United Kingdom
489514,21791,VINTAGE HEADS AND TAILS CARD GAME ,72,2009-12-01 11:21:00,1.06,15311,United Kingdom
489520,21842,PINK HEART CANDY BUTTON CALCULATOR,54,2009-12-01 11:41:00,2.55,14911,Ireland
489523,84879,ASSORTED COLOUR BIRD ORNAMENT,800,2009-12-01 11:46:00,1.45,12931,United Kingdom
